,SUBZONE_N,341,11,193,226,187,25,77,138,101,273,96,10,133,232,18,5,233,176,275,207,344,315,246,293,200,15,100,58,7,31,245,95,257,134,60
51,TANGLIN HALT,7242.0,13683.0,19381.0,13684.0,17947.0,24213.0,11244.0,20514.0,8639.0,12953.0,13928.0,30229.0,3573.0,27938.0,17576.0,23348.0,27250.0,28634.0,21306.0,28981.0,11770.0,32228.0,18157.0,4746.0,24787.0,14490.0,11384.0,18561.0,23636.0,10130.0,24370.0,18857.0,29612.0,12435.0,22458.0
52,MARGARET DRIVE,7425.0,15536.0,19897.0,14174.0,16904.0,23170.0,12605.0,19472.0,7597.0,13443.0,13934.0,29824.0,5588.0,26895.0,18936.0,22305.0,26207.0,27592.0,20264.0,27938.0,13131.0,28485.0,17115.0,6168.0,26147.0,15850.0,10341.0,19077.0,22593.0,6533.0,23327.0,17815.0,30972.0,11392.0,18224.0
53,BENCOOLEN,15872.0,13896.0,12107.0,11260.0,9114.0,14814.0,12012.0,9734.0,3370.0,10649.0,15140.0,20085.0,9108.0,17743.0,15538.0,14515.0,17263.0,19236.0,11907.0,18185.0,13314.0,16489.0,8759.0,8833.0,25551.0,24297.0,1100.0,11287.0,14803.0,1852.0,14971.0,9076.0,32152.0,3597.0,13500.0
54,FARRER PARK,16022.0,8385.0,11737.0,14875.0,8744.0,16016.0,11694.0,9417.0,3868.0,10750.0,14041.0,19768.0,9605.0,17203.0,15221.0,14145.0,16723.0,17597.0,13109.0,17645.0,12996.0,16590.0,9333.0,8516.0,25234.0,23459.0,418.0,10917.0,14433.0,3276.0,18604.0,9768.0,31835.0,2681.0,11237.0
55,SIMEI,28874.0,15660.0,19241.0,29163.0,13609.0,699.0,26397.0,26107.0,16373.0,24860.0,26015.0,36458.0,27038.0,4769.0,29923.0,11975.0,4081.0,5644.0,3348.0,5812.0,27699.0,24754.0,5898.0,23218.0,41923.0,37300.0,13847.0,18422.0,22377.0,15695.0,856.0,8503.0,52421.0,14433.0,17307.0
56,TAMPINES EAST,30801.0,15519.0,15642.0,25185.0,12647.0,3146.0,34398.0,28033.0,18299.0,26624.0,25874.0,38384.0,28964.0,2710.0,37925.0,12832.0,2512.0,4673.0,5274.0,3307.0,35700.0,24010.0,7824.0,31220.0,28383.0,39226.0,15256.0,18876.0,13116.0,17081.0,4083.0,9957.0,54539.0,13733.0,17178.0
57,TAMPINES WEST,28354.0,12871.0,17048.0,22537.0,9999.0,7673.0,31750.0,16448.0,16609.0,23976.0,23226.0,26799.0,21777.0,5358.0,35276.0,11713.0,4878.0,6181.0,5801.0,5800.0,33052.0,23903.0,5217.0,28571.0,29773.0,39753.0,12607.0,16228.0,19589.0,14433.0,6758.0,8416.0,51890.0,11985.0,14530.0
58,YISHUN SOUTH,32307.0,10200.0,8977.0,7013.0,15004.0,33191.0,24054.0,7380.0,19747.0,6877.0,6382.0,5331.0,30471.0,23883.0,20763.0,12813.0,21998.0,18424.0,30284.0,25154.0,25356.0,3351.0,27135.0,20876.0,10431.0,30849.0,16913.0,8754.0,10553.0,19069.0,33348.0,27835.0,32799.0,17832.0,9252.0
59,NORTHLAND,28681.0,14165.0,11235.0,10993.0,17093.0,35184.0,26047.0,9373.0,21740.0,10152.0,9134.0,2915.0,30204.0,26056.0,19985.0,15064.0,24250.0,20675.0,32277.0,25486.0,27349.0,3337.0,29128.0,22869.0,9653.0,30071.0,18906.0,11012.0,18644.0,21062.0,35341.0,29828.0,32021.0,23020.0,11317.0
60,YISHUN CENTRAL,28013.0,10858.0,9840.0,7869.0,15867.0,34516.0,25379.0,8705.0,21072.0,7733.0,7238.0,5008.0,29536.0,24739.0,19317.0,13669.0,22855.0,19280.0,31609.0,26010.0,26681.0,2594.0,28460.0,22201.0,8985.0,29403.0,20445.0,9617.0,11416.0,20394.0,34673.0,29160.0,31353.0,18688.0,10577.0
61,YISHUN WEST,28212.0,13696.0,10714.0,8617.0,16624.0,34715.0,25578.0,8904.0,21271.0,7788.0,8665.0,3552.0,29735.0,25545.0,19516.0,14543.0,23473.0,19352.0,31808.0,26816.0,16343.0,1125.0,28659.0,22400.0,9184.0,29602.0,18437.0,10491.0,12290.0,20593.0,34872.0,29359.0,31552.0,22551.0,10776.0
62,YISHUN EAST,29674.0,15158.0,10493.0,12072.0,18102.0,36177.0,27040.0,10366.0,22733.0,11158.0,9474.0,6237.0,31197.0,26992.0,20978.0,13437.0,25090.0,21515.0,33270.0,28263.0,28342.0,5378.0,30121.0,23862.0,10646.0,31064.0,19899.0,10585.0,10163.0,22055.0,36334.0,30821.0,33014.0,20924.0,12310.0
63,KHATIB,29307.0,12019.0,9129.0,7165.0,14947.0,33039.0,23902.0,7228.0,19595.0,7029.0,6988.0,4813.0,30830.0,24035.0,20611.0,12965.0,22150.0,18576.0,30132.0,25306.0,25204.0,3122.0,26983.0,20724.0,10279.0,30697.0,16761.0,8906.0,10705.0,18917.0,33196.0,27683.0,32647.0,20875.0,9100.0
64,HOUGANG CENTRAL,25292.0,7666.0,5775.0,10133.0,3870.0,18388.0,21035.0,6754.0,13138.0,10690.0,16462.0,20035.0,18875.0,14271.0,24562.0,5572.0,13921.0,9824.0,15481.0,14005.0,22337.0,16808.0,9500.0,17857.0,25501.0,32729.0,9560.0,6962.0,5861.0,12546.0,18545.0,8903.0,41176.0,8614.0,4919.0
65,SHANGRI-LA,24012.0,3861.0,6114.0,3014.0,8657.0,31400.0,14422.0,1807.0,16709.0,3314.0,2842.0,13490.0,14341.0,35125.0,22767.0,15817.0,34437.0,17219.0,28494.0,36168.0,17896.0,8973.0,25345.0,14608.0,12211.0,32438.0,10574.0,8755.0,9353.0,15089.0,31557.0,17306.0,34574.0,9035.0,4249.0
