,SUBZONE_N,102,61,104,52,122,19,119,3,93,103,1,95,22,23,35,111,76,101,4
93,WOODLANDS WEST,28833.0,11340.0,28292.0,22211.0,4540.0,13350.0,21292.0,29714.0,27310.0,32063.0,995.0,18954.0,18651.0,18676.0,23362.0,24860.0,42702.0,28144.0,24629.0
94,FRANKEL,2683.0,29591.0,3972.0,11183.0,33670.0,22040.0,31799.0,12035.0,8044.0,8015.0,37641.0,22425.0,12786.0,13315.0,12500.0,7357.0,2942.0,16988.0,17378.0
95,UPPER THOMSON,14535.0,14431.0,13506.0,4889.0,15035.0,3934.0,22690.0,10769.0,12523.0,14294.0,15468.0,15428.0,5931.0,5804.0,10709.0,10563.0,18410.0,7428.0,10939.0
96,BISHAN EAST,9902.0,12389.0,8873.0,3764.0,16468.0,4838.0,23463.0,12259.0,7891.0,9662.0,20440.0,14089.0,4163.0,4188.0,4898.0,7533.0,13777.0,8725.0,13613.0
97,BUKIT BATOK EAST,27128.0,23034.0,27310.0,14763.0,16234.0,15339.0,9593.0,18015.0,17501.0,15811.0,16839.0,5324.0,30345.0,30370.0,21792.0,21302.0,31003.0,9338.0,12930.0
98,BUKIT BATOK WEST,27119.0,23025.0,27301.0,17058.0,16225.0,25511.0,9584.0,18006.0,25468.0,25391.0,16830.0,6561.0,30336.0,30361.0,24087.0,23597.0,30994.0,11633.0,12921.0
99,HILLVIEW,21119.0,28222.0,19233.0,15527.0,18378.0,18712.0,17180.0,18797.0,26468.0,24564.0,13926.0,7964.0,19996.0,20021.0,21088.0,21977.0,24994.0,9140.0,12639.0
100,GOMBAK,22009.0,29111.0,22191.0,16416.0,15401.0,19602.0,19133.0,19687.0,27358.0,25454.0,12581.0,9917.0,20885.0,20910.0,21978.0,22867.0,25884.0,11098.0,14597.0
101,GUILIN,27604.0,21181.0,27786.0,32052.0,14380.0,23667.0,10069.0,18491.0,25953.0,16691.0,14986.0,7731.0,28492.0,28517.0,33203.0,29250.0,31479.0,13433.0,13406.0
102,BUKIT BATOK CENTRAL,26159.0,22065.0,26341.0,32936.0,15265.0,24551.0,8624.0,17046.0,24508.0,16889.0,15870.0,6286.0,29376.0,29401.0,34087.0,27805.0,30034.0,11988.0,11961.0
